,date,totalSnow,snowDays,baseDepth,summitDepth,maxBaseDepth,biggestSnowfall,time_period,title,region,slug
7,2023-06-03,0.0,0,0.0,0.0,0.0,0.0,Monthly,Loveland,colorado,loveland
0,2023-11-03,12.700000000000001,1,26.63664545454545,38.28212829594648,76.2,45.72,Monthly,Monarch Mountain,colorado,monarch-mountain
1,2023-12-03,41.794545454545464,3,48.715,75.61623498879895,91.44,45.72,Monthly,Monarch Mountain,colorado,monarch-mountain
2,2023-01-03,74.12181818181817,4,70.57202727272727,99.8272947172302,116.84,71.12,Monthly,Monarch Mountain,colorado,monarch-mountain
3,2023-02-03,71.58181818181818,4,84.1431,119.00044035080715,190.5,71.12,Monthly,Monarch Mountain,colorado,monarch-mountain
4,2023-03-03,58.42,3,84.91478181818182,117.76298753237614,254.0,76.2,Monthly,Monarch Mountain,colorado,monarch-mountain
5,2023-04-03,0.0,0,48.27979090909091,64.42363636363638,190.5,0.0,Monthly,Monarch Mountain,colorado,monarch-mountain
6,2023-05-03,0.0,0,0.0,0.0,0.0,0.0,Monthly,Monarch Mountain,colorado,monarch-mountain
7,2023-06-03,0.0,0,0.0,0.0,0.0,0.0,Monthly,Monarch Mountain,colorado,monarch-mountain
0,2023-11-03,12.700000000000001,1,26.63664545454545,38.28212829594648,76.2,45.72,Monthly,Purgatory,colorado,durango-mountain-resort
1,2023-12-03,41.794545454545464,3,48.715,75.61623498879895,91.44,45.72,Monthly,Purgatory,colorado,durango-mountain-resort
2,2023-01-03,74.12181818181817,4,70.57202727272727,99.8272947172302,116.84,71.12,Monthly,Purgatory,colorado,durango-mountain-resort
3,2023-02-03,71.58181818181818,4,84.1431,119.00044035080715,190.5,71.12,Monthly,Purgatory,colorado,durango-mountain-resort
4,2023-03-03,58.42,3,84.91478181818182,117.76298753237614,254.0,76.2,Monthly,Purgatory,colorado,durango-mountain-resort
5,2023-04-03,0.0,0,48.27979090909091,64.42363636363638,190.5,0.0,Monthly,Purgatory,colorado,durango-mountain-resort
6,2023-05-03,0.0,0,0.0,0.0,0.0,0.0,Monthly,Purgatory,colorado,durango-mountain-resort
7,2023-06-03,0.0,0,0.0,0.0,0.0,0.0,Monthly,Purgatory,colorado,durango-mountain-resort
0,2023-11-03,12.700000000000001,1,26.63664545454545,38.28212829594648,76.2,45.72,Monthly,Silverton Mountain,colorado,silverton-mountain
1,2023-12-03,41.794545454545464,3,48.715,75.61623498879895,91.44,45.72,Monthly,Silverton Mountain,colorado,silverton-mountain
2,2023-01-03,74.12181818181817,4,70.57202727272727,99.8272947172302,116.84,71.12,Monthly,Silverton Mountain,colorado,silverton-mountain
3,2023-02-03,71.58181818181818,4,84.1431,119.00044035080715,190.5,71.12,Monthly,Silverton Mountain,colorado,silverton-mountain
4,2023-03-03,58.42,3,84.91478181818182,117.76298753237614,254.0,76.2,Monthly,Silverton Mountain,colorado,silverton-mountain
5,2023-04-03,0.0,0,48.27979090909091,64.42363636363638,190.5,0.0,Monthly,Silverton Mountain,colorado,silverton-mountain
6,2023-05-03,0.0,0,0.0,0.0,0.0,0.0,Monthly,Silverton Mountain,colorado,silverton-mountain
7,2023-06-03,0.0,0,0.0,0.0,0.0,0.0,Monthly,Silverton Mountain,colorado,silverton-mountain
0,2023-11-03,12.700000000000001,1,26.63664545454545,38.28212829594648,76.2,45.72,Monthly,Steamboat,colorado,steamboat
1,2023-12-03,41.794545454545464,3,48.715,75.61623498879895,91.44,45.72,Monthly,Steamboat,colorado,steamboat
2,2023-01-03,74.12181818181817,4,70.57202727272727,99.8272947172302,116.84,71.12,Monthly,Steamboat,colorado,steamboat
3,2023-02-03,71.58181818181818,4,84.1431,119.00044035080715,190.5,71.12,Monthly,Steamboat,colorado,steamboat
4,2023-03-03,58.42,3,84.91478181818182,117.76298753237614,254.0,76.2,Monthly,Steamboat,colorado,steamboat
5,2023-04-03,0.0,0,48.27979090909091,64.42363636363638,190.5,0.0,Monthly,Steamboat,colorado,steamboat
6,2023-05-03,0.0,0,0.0,0.0,0.0,0.0,Monthly,Steamboat,colorado,steamboat
7,2023-06-03,0.0,0,0.0,0.0,0.0,0.0,Monthly,Steamboat,colorado,steamboat
0,2023-11-03,12.700000000000001,1,26.63664545454545,38.28212829594648,76.2,45.72,Monthly,Vail,colorado,vail
1,2023-12-03,41.794545454545464,3,48.715,75.61623498879895,91.44,45.72,Monthly,Vail,colorado,vail
2,2023-01-03,74.12181818181817,4,70.57202727272727,99.8272947172302,116.84,71.12,Monthly,Vail,colorado,vail
3,2023-02-03,71.58181818181818,4,84.1431,119.00044035080715,190.5,71.12,Monthly,Vail,colorado,vail
4,2023-03-03,58.42,3,84.91478181818182,117.76298753237614,254.0,76.2,Monthly,Vail,colorado,vail
5,2023-04-03,0.0,0,48.27979090909091,64.42363636363638,190.5,0.0,Monthly,Vail,colorado,vail
6,2023-05-03,0.0,0,0.0,0.0,0.0,0.0,Monthly,Vail,colorado,vail
7,2023-06-03,0.0,0,0.0,0.0,0.0,0.0,Monthly,Vail,colorado,vail
0,2023-11-03,12.700000000000001,1,26.63664545454545,38.28212829594648,76.2,45.72,Monthly,Winter Park,colorado,winter-park-resort
1,2023-12-03,41.794545454545464,3,48.715,75.61623498879895,91.44,45.72,Monthly,Winter Park,colorado,winter-park-resort
2,2023-01-03,74.12181818181817,4,70.57202727272727,99.8272947172302,116.84,71.12,Monthly,Winter Park,colorado,winter-park-resort
3,2023-02-03,71.58181818181818,4,84.1431,119.00044035080715,190.5,71.12,Monthly,Winter Park,colorado,winter-park-resort
4,2023-03-03,58.42,3,84.91478181818182,117.76298753237614,254.0,76.2,Monthly,Winter Park,colorado,winter-park-resort
5,2023-04-03,0.0,0,48.27979090909091,64.42363636363638,190.5,0.0,Monthly,Winter Park,colorado,winter-park-resort
6,2023-05-03,0.0,0,0.0,0.0,0.0,0.0,Monthly,Winter Park,colorado,winter-park-resort
7,2023-06-03,0.0,0,0.0,0.0,0.0,0.0,Monthly,Winter Park,colorado,winter-park-resort
0,2023-11-03,12.700000000000001,1,26.63664545454545,38.28212829594648,76.2,45.72,Monthly,Alta Ski Area,utah,alta-ski-area
1,2023-12-03,41.794545454545464,3,48.715,75.61623498879895,91.44,45.72,Monthly,Alta Ski Area,utah,alta-ski-area
2,2023-01-03,74.12181818181817,4,70.57202727272727,99.8272947172302,116.84,71.12,Monthly,Alta Ski Area,utah,alta-ski-area
3,2023-02-03,71.58181818181818,4,84.1431,119.00044035080715,190.5,71.12,Monthly,Alta Ski Area,utah,alta-ski-area
4,2023-03-03,58.42,3,84.91478181818182,117.76298753237614,254.0,76.2,Monthly,Alta Ski Area,utah,alta-ski-area
5,2023-04-03,0.0,0,48.27979090909091,64.42363636363638,190.5,0.0,Monthly,Alta Ski Area,utah,alta-ski-area
6,2023-05-03,0.0,0,0.0,0.0,0.0,0.0,Monthly,Alta Ski Area,utah,alta-ski-area
7,2023-06-03,0.0,0,0.0,0.0,0.0,0.0,Monthly,Alta Ski Area,utah,alta-ski-area
0,2023-11-03,12.700000000000001,1,26.63664545454545,38.28212829594648,76.2,45.72,Monthly,Brian Head Resort,utah,brian-head-resort
1,2023-12-03,41.794545454545464,3,48.715,75.61623498879895,91.44,45.72,Monthly,Brian Head Resort,utah,brian-head-resort
2,2023-01-03,74.12181818181817,4,70.57202727272727,99.8272947172302,116.84,71.12,Monthly,Brian Head Resort,utah,brian-head-resort
3,2023-02-03,71.58181818181818,4,84.1431,119.00044035080715,190.5,71.12,Monthly,Brian Head Resort,utah,brian-head-resort
4,2023-03-03,58.42,3,84.91478181818182,117.76298753237614,254.0,76.2,Monthly,Brian Head Resort,utah,brian-head-resort
5,2023-04-03,0.0,0,48.27979090909091,64.42363636363638,190.5,0.0,Monthly,Brian Head Resort,utah,brian-head-resort
6,2023-05-03,0.0,0,0.0,0.0,0.0,0.0,Monthly,Brian Head Resort,utah,brian-head-resort
7,2023-06-03,0.0,0,0.0,0.0,0.0,0.0,Monthly,Brian Head Resort,utah,brian-head-resort
0,2023-11-03,12.700000000000001,1,26.63664545454545,38.28212829594648,76.2,45.72,Monthly,Brighton Resort,utah,brighton-resort
1,2023-12-03,41.794545454545464,3,48.715,75.61623498879895,91.44,45.72,Monthly,Brighton Resort,utah,brighton-resort
2,2023-01-03,74.12181818181817,4,70.57202727272727,99.8272947172302,116.84,71.12,Monthly,Brighton Resort,utah,brighton-resort
3,2023-02-03,71.58181818181818,4,84.1431,119.00044035080715,190.5,71.12,Monthly,Brighton Resort,utah,brighton-resort
4,2023-03-03,58.42,3,84.91478181818182,117.76298753237614,254.0,76.2,Monthly,Brighton Resort,utah,brighton-resort
5,2023-04-03,0.0,0,48.27979090909091,64.42363636363638,190.5,0.0,Monthly,Brighton Resort,utah,brighton-resort
6,2023-05-03,0.0,0,0.0,0.0,0.0,0.0,Monthly,Brighton Resort,utah,brighton-resort
7,2023-06-03,0.0,0,0.0,0.0,0.0,0.0,Monthly,Brighton Resort,utah,brighton-resort
0,2023-11-03,12.700000000000001,1,26.63664545454545,38.28212829594648,76.2,45.72,Monthly,Deer Valley Resort,utah,deer-valley-resort
1,2023-12-03,41.794545454545464,3,48.715,75.61623498879895,91.44,45.72,Monthly,Deer Valley Resort,utah,deer-valley-resort
2,2023-01-03,74.12181818181817,4,70.57202727272727,99.8272947172302,116.84,71.12,Monthly,Deer Valley Resort,utah,deer-valley-resort
3,2023-02-03,71.58181818181818,4,84.1431,119.00044035080715,190.5,71.12,Monthly,Deer Valley Resort,utah,deer-valley-resort
4,2023-03-03,58.42,3,84.91478181818182,117.76298753237614,254.0,76.2,Monthly,Deer Valley Resort,utah,deer-valley-resort
5,2023-04-03,0.0,0,48.27979090909091,64.42363636363638,190.5,0.0,Monthly,Deer Valley Resort,utah,deer-valley-resort
6,2023-05-03,0.0,0,0.0,0.0,0.0,0.0,Monthly,Deer Valley Resort,utah,deer-valley-resort
7,2023-06-03,0.0,0,0.0,0.0,0.0,0.0,Monthly,Deer Valley Resort,utah,deer-valley-resort
0,2023-11-03,12.700000000000001,1,26.63664545454545,38.28212829594648,76.2,45.72,Monthly,Park City,utah,park-city-mountain-resort
1,2023-12-03,41.794545454545464,3,48.715,75.61623498879895,91.44,45.72,Monthly,Park City,utah,park-city-mountain-resort
2,2023-01-03,74.12181818181817,4,70.57202727272727,99.8272947172302,116.84,71.12,Monthly,Park City,utah,park-city-mountain-resort
3,2023-02-03,71.58181818181818,4,84.1431,119.00044035080715,190.5,71.12,Monthly,Park City,utah,park-city-mountain-resort
4,2023-03-03,58.42,3,84.91478181818182,117.76298753237614,254.0,76.2,Monthly,Park City,utah,park-city-mountain-resort
5,2023-04-03,0.0,0,48.27979090909091,64.42363636363638,190.5,0.0,Monthly,Park City,utah,park-city-mountain-resort
6,2023-05-03,0.0,0,0.0,0.0,0.0,0.0,Monthly,Park City,utah,park-city-mountain-resort
7,2023-06-03,0.0,0,0.0,0.0,0.0,0.0,Monthly,Park City,utah,park-city-mountain-resort
0,2023-11-03,12.700000000000001,1,26.63664545454545,38.28212829594648,76.2,45.72,Monthly,Snowbasin,utah,snowbasin
1,2023-12-03,41.794545454545464,3,48.715,75.61623498879895,91.44,45.72,Monthly,Snowbasin,utah,snowbasin
2,2023-01-03,74.12181818181817,4,70.57202727272727,99.8272947172302,116.84,71.12,Monthly,Snowbasin,utah,snowbasin
3,2023-02-03,71.58181818181818,4,84.1431,119.00044035080715,190.5,71.12,Monthly,Snowbasin,utah,snowbasin
4,2023-03-03,58.42,3,84.91478181818182,117.76298753237614,254.0,76.2,Monthly,Snowbasin,utah,snowbasin
5,2023-04-03,0.0,0,48.27979090909091,64.42363636363638,190.5,0.0,Monthly,Snowbasin,utah,snowbasin
6,2023-05-03,0.0,0,0.0,0.0,0.0,0.0,Monthly,Snowbasin,utah,snowbasin
7,2023-06-03,0.0,0,0.0,0.0,0.0,0.0,Monthly,Snowbasin,utah,snowbasin
0,2023-11-03,12.700000000000001,1,26.63664545454545,38.28212829594648,76.2,45.72,Monthly,Snowbird,utah,snowbird
1,2023-12-03,41.794545454545464,3,48.715,75.61623498879895,91.44,45.72,Monthly,Snowbird,utah,snowbird
2,2023-01-03,74.12181818181817,4,70.57202727272727,99.8272947172302,116.84,71.12,Monthly,Snowbird,utah,snowbird
3,2023-02-03,71.58181818181818,4,84.1431,119.00044035080715,190.5,71.12,Monthly,Snowbird,utah,snowbird
4,2023-03-03,58.42,3,84.91478181818182,117.76298753237614,254.0,76.2,Monthly,Snowbird,utah,snowbird
5,2023-04-03,0.0,0,48.27979090909091,64.42363636363638,190.5,0.0,Monthly,Snowbird,utah,snowbird
6,2023-05-03,0.0,0,0.0,0.0,0.0,0.0,Monthly,Snowbird,utah,snowbird
7,2023-06-03,0.0,0,0.0,0.0,0.0,0.0,Monthly,Snowbird,utah,snowbird
0,2023-11-03,12.700000000000001,1,26.63664545454545,38.28212829594648,76.2,45.72,Monthly,Solitude Mountain Resort,utah,solitude-mountain-resort
1,2023-12-03,41.794545454545464,3,48.715,75.61623498879895,91.44,45.72,Monthly,Solitude Mountain Resort,utah,solitude-mountain-resort
2,2023-01-03,74.12181818181817,4,70.57202727272727,99.8272947172302,116.84,71.12,Monthly,Solitude Mountain Resort,utah,solitude-mountain-resort
3,2023-02-03,71.58181818181818,4,84.1431,119.00044035080715,190.5,71.12,Monthly,Solitude Mountain Resort,utah,solitude-mountain-resort
4,2023-03-03,58.42,3,84.91478181818182,117.76298753237614,254.0,76.2,Monthly,Solitude Mountain Resort,utah,solitude-mountain-resort
5,2023-04-03,0.0,0,48.27979090909091,64.42363636363638,190.5,0.0,Monthly,Solitude Mountain Resort,utah,solitude-mountain-resort
6,2023-05-03,0.0,0,0.0,0.0,0.0,0.0,Monthly,Solitude Mountain Resort,utah,solitude-mountain-resort
7,2023-06-03,0.0,0,0.0,0.0,0.0,0.0,Monthly,Solitude Mountain Resort,utah,solitude-mountain-resort
